_key,killedUsingWeapon,hasIBCCode
10954,gunfire,d8950-zs2556
10955,gunfire,d8951-xe2623
10956,stabbed,d10582-hw2883
10957,AK-47 Kalashnikov rifle,d8952-ua2619
10958,drive-by shooting,d0925-bh656
10959,gunfire,d7704-sw2168
10960,gunfire,d7705-zm2185
10961,gunfire from Andrew Moonen,k4969-sw824
10962, Blackwater employee,k4969-sw824
10963,gunfire,k4973-zm841
10964,gunfire,d0978-zu858
10965,kidnapped,d7703-zc2243
10966, executed,d7703-zc2243
10967,gunfire,d8946-sv2631
10968,gunfire,d8947-zv2510
10969,gunfire,k4959-nf863
10970,drive-by shooting,k4968-em836
10971,gunfire,k15830-dw1737
10972,gunfire,d8522-zc2627
10973,gunfire,d8522-sw2552
10974,car bomb,k4954-hx785
10975,car bomb,k4954-fm800
10976,machine-gun fire,d1684-fd708
10977,gunfire,d1685-bv713
10978, assassinated,d1685-bv713
10979,US gunfire,d1689-bz643
10980,gunfire,d8942-xk2474
10981,gunfire,d8969-xv2538
10982,gunfire,d1683-hu693
10983,gunfire,k4933-zw781
10984,gunfire,k4934-ua835
10985,gunfire,k4935-ds760
10986,gunfire,k4940-vn839
10987,gunfire,k4940-xw756
10988,gunfire,d0908-ec778
10989, assassinated,d0908-ec778
10990,gunfire,k4942-hx1753
10991,gunfire,k4942-fm1768
10992,gunfire,d8941-kf2470
10993,gunfire,k4926-sv815
10994,stun grenades,k4927-zv694
10995,gunfire,d0903-ea688
10996,gunfire,d1674-bn762
10997,gunfire,d1674-nh689
10998,gunfire,d1675-bh704
10999, assassinated,d1675-bh704
11000,improvised explosive device,d6653-zv2182
11001,gunfire,d7702-vc2362
11002,gunfire,k4922-xk674
11003,gunfire,k4911-xu824
11004,gunfire,k4918-nm666
11005,gunfire,k4918-ks849
11006,gunfire,k4918-ns864
11007,gunfire,k4918-hv795
11008,gunfire,k4920-xd670
11009,gunfire,d8934-hu2645
11010,kidnapped,d6637-eu2301
11011, executed,d6637-eu2301
11012,gunfire,k4897-es630
11013,gunfire,k4891-vc626
11014,gunfire,k4893-em844
11015,gunfire,k4893-sk751
11016,gunfire,k4888a-kv1457
11017,AK-47 Kalashnikov rifle,d8921-nm2450
11018,drive-by shooting,k4878-nz742
11019,gunfire,d1670-xd758
11020,gunfire,d1669-hv627
11021,gunfire,d6651-hs2348
11022,gunfire,d6651-uc2364
11023,murdered,d7698b-ur2358
11024,murdered,d7699-dc2173
11025,murdered,d8937-hz2466
11026,gunfire,d8938-bz2595
11027,9mm gunfire,d8939-hd2648
11028,kidnapped,d7697-ed2188
11029, found beheaded,d7697-ed2188
11030,mortr rounds,k4859-eh777
11031,mortr rounds,k4859-dh706
11032,mortr rounds,k4859-nb734
11033,mortr rounds,k4859-kn789
11034,mortr rounds,k4859-nd804
11035,mortr rounds,k4859-kr855
11036,mortar shell,k4865-fm808
11037,drive-by shooting,d10271-ef2851
11038,-,k4853-vn831
11039,gunfire,k4857-df760
11040,gunfire,d7671-ec2298
11041,murdered,d8935-fd2660
11042,murdered,d8936-bv2665
11043,improvised explosive device,k4869-xw2908
11044,improvised explosive device,k4869-ve2925
11045,improvised explosive device,k4869-xf2726
11046,gunfire,k4841-ev768
11047,gunfire,k4841-dv827
11048,gunfire,k4841-ue698
11049,gunfire,k4841-dz753
11050,gunfire,k4841-xe815
11051,drive-by shooting,k4848-ec690
11052,gunfire,d6650-kh2340
11053,gunfire,d6652-sv2303
11054,gunfire,k4831-kh780
11055,gunfire,k4835-fv757
11056,murdered,d6456-zn2008
11057,gunfire,d8929-bn2458
11058,tortured,d10468-bw2867
11059, executed,d10468-bw2867
11060,gunfire,k4832-bx753
11061,gunfire,k4832-xk698
11062,gunfire,k4832-bw827
11063,suicide car bomb,k4826-fb718
11064,gunfire,k15821-ev1712
11065,murdered,d7669-xa2229
11066,mortar rounds,d1663-nm754
11067,mortar rounds,d1663-ks697
11068,mortar rounds,d1663-vm2625
11069,mortar rounds,d1663-xc2442
11070,gunfire,k4815-em788
11071,gunfire,k4815-sk871
11072,US air strike,k4816-es750
11073,US air strike,k4816-sr805
11074,US air strike,k4816-zc851
11075,US air strike,k4816-sw808
11076,US air strike,k4816-zm793
11077,US air strike,k4816-xr722
11078,US air strike,k4816-uw847
11079,US air strike,k4816-dn812
11080,US air strike,k4816-uz797
11081,US air strike,k4816-sa726
11082,US air strike,k4816-vs859
11083,US air strike,k4816-xu800
11084,US air strike,k4816-vm785
11085,US air strike,k4816-xc730
11086,US air strike,k4816-ek855
11087,US air strike,k4816-su804
11088,US air strike,k4816-eu789
11089,gunfire,k4805-nz638
11090,gunfire,k4806-bk759
11091,gunfire,k4809-hf634
11092,drive-by shooting,k4811-zn792
11093,improvised explosive device,d7665-dv2163
11094,improvised explosive device,d7665-ue2290
11095,improvised explosive device,d7665-dz2233
11096,gunfire,k4793-eh849
11097,gunfire,k4799-xz824
11098,found beheaded,k4803-hr837
11099,gunfire,d8916-es2430
11100,murdered,d8917-sr2613
11101,murdered,d8917-zc2563
11102,gunfire,d8918-sw2616
11103,gunfire,d0972-fs713
11104,gunfire,d0981-dc661
11105,gunfire,d0988-sk719
11106,gunfire,d7663-sv2159
11107,kidnapped,d0848-xn649
11108, executed,d0848-xn649
11109,gunfire,k4787i-fv1709
11110,gunfire,k4774-hc831
11111,gunfire,k4781-xk690
11112,assassinated,d1657-uw671
11113,improvised explosive device,d8915-xn2609
11114,improvised explosive device,d8915-em2628
11115,gunfire,d8927-ux2668
